"";"position";"plate_position";"tray";"pot";"genotype";"treatment";"weight.only.";"weight";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"hits_ratio";"bacterial_load"
"354";"23_37";"p8_G2";23;37;"Schl";"#1";NA;103;0,0016587779527013;0,00072571535430682;0,000518368110219156;0,000933062598394482;0,000622041732262988;0,00186612519678896;0,00207347244087662;0,000207347244087662;0,000207347244087662;0,000207347244087662;0,000103673622043832;0,000311020866131494;0,000103673622043832;0,000414694488175326;0,0125172;0,00995266771620781
"375";"3_28";"p1_G12";3;28;"Schl";"#1";NA;92;0,00500192570632762;0,00350134799442933;0,00550211827696038;0,00700269598885866;0,00200077028253105;0,00500192570632762;0,00300115542379657;0;0;0;0;0;0;0,00100038514126552;0,0894405;0,0320123245204967
"17";"1_44";"p1_B10";1;44;"Schl";"#1";NA;98;0,0125814517706055;0,00181258203474824;0,00133278090790312;0,00117284719895475;0,00410496519634161;0,0172728405664244;0,00277218428843849;0,000266556181580624;0;0,000213244945264499;0,0000533112363161247;0,0000533112363161247;0,000213244945264499;0,00309205170633524;0,0102756;0,0449413722144932
"148";"14_37";"p5_E12";14;37;"Schl";"#1";NA;60;0,00926111058877253;0,000841919144433867;0,000841919144433867;0,00336767657773547;0,0159964637442435;0,0143126254553758;0,0159964637442435;0;0;0;0,00168383828886773;0,000841919144433867;0;0,000841919144433867;0,00254939;0,0639858549769739
"238";"19_2";"p7_B2";19;2;"Schl";"#1";NA;38;0,106941494078262;0,00155740039919798;0,00467220119759394;0,00778700199598991;0,0150548705255805;0,0934440239518791;0,00830613546238925;0;0;0;0,00155740039919798;0,00103826693279865;0;0,00259566733199664;0,00540226;0,242954462274885
"279";"2_49";"p1_E12";2;49;"Schl";"#1";NA;36;0,0496665185099067;0,0198666074039626;0,00794664296158506;0,00397332148079253;0,0635731436926803;0,101319697760209;0,103306358500606;0;0;0;0,00794664296158506;0,00397332148079253;0;0,00198666074039626;0,012776;0,363558915492516
"115";"13_12";"p5_A11";13;12;"Schl";"#1";NA;75;0,129855432850395;0,0139556297427686;0,006637433658146;0,0151469639891025;0,0370164569396605;0,192485576086235;0,0194868244578902;0,0000850953033095645;0,0000850953033095645;0;0,000340381213238258;0,000765857729786078;0;0,00136152485295303;0,0110508;0,417222272126794
"107";"12_36";"p4_H4";12;36;"Schl";"#1";NA;47;0,0563723004535603;0,0209382830256081;0,00379650186728058;0,0130001427576577;0,0943373191263661;0,160718579048212;0,0676467605442724;0,000460182044518858;0;0,00126550062242686;0,000805318577908001;0,00138054613355657;0,000345136533389144;0,00517704800083718;0,0182111;0,426243618735593
"290";"20_18";"p7_E8";20;18;"Schl";"#1";NA;47;0,103830456695227;0,00879209512338614;0,0113041223014965;0,0138161494796068;0,190495394340034;0,298512562998778;0,0770355001287172;0,000418671196351723;0;0;0,00209335598175861;0,000837342392703442;0;0,0037680407671655;0,00524364;0,710903691405225
"442";"7_40";"p3_B12";7;40;"Schl";"#1";NA;61;0,486252067418879;0,141235040329135;0,0188313387105513;0,0840684763863898;0,0881037632529365;0,283142628469361;1,44934053290136;0,00605293029982005;0,00403528686654671;0,011433312788549;0,0470783467763781;0,0410254164765581;0,00739802592200228;0,0726351635978408;0,237059;2,7406323301963
"491";"9_41";"p3_H5";9;41;"Schl";"#1";NA;73;0,47815071698538;0,0359182693095363;0,0611629961531337;0,0224264319228157;1,14860508952282;1,23621208695393;0,0904852560736066;0,00179891165156276;0,000899455825781377;0,00425742424203185;0,00545669867640704;0,00971412291843888;0,00161902048640648;0,0151708215948459;0,015191;3,11187730231669
"185";"16_47";"p6_C12";16;47;"Schl";"#1";NA;73;0,225164192551211;0,0338839318887745;0,0885354349351848;0,135535727555098;0,455793535407065;2,09533862679938;0,276536605414837;0,00983727054835387;0;0,111489066214677;0,00109303006092821;0;0;0;0,0384569;3,43320742137551
"150";"14_41";"p5_F4";14;41;"Schl";"#2";NA;233;0,0000328372327227379;0;0,000016418616361369;0;0,000098511698168214;0,000246279245420535;0,000049255849084107;0,000098511698168214;0;0,000262697861781904;0,00103437283076625;0,00016418616361369;0,000459721258118333;0,00177321056702785;0,00347826;0,0042360030212332
"296";"20_36";"p7_F5";20;36;"Schl";"#2";NA;243;0,000916026780073845;0;0,000183205356014769;0;0,000183205356014769;0,000732821424059076;0;0,000916026780073845;0,000183205356014769;0,00128243749210338;0,00146564284811815;0,00128243749210338;0;0,00256487498420676;0,0990617;0,00970988386878276
"189";"16_7";"p6_A12";16;7;"Schl";"#2";NA;189;0,0000433305834958245;0;0;0;0,0000433305834958245;0,000216652917479123;0;0,00121325633788309;0,0000433305834958245;0,00151657042235386;0,00151657042235386;0,00155990100584969;0,000909942253412315;0,00675957102534862;0,0145773;0,013822456135168
"89";"12_1";"p4_F7";12;1;"Schl";"#2";NA;193;0,00027110437485849;0,000027110437485849;0,0000406656562287736;0,0000813313124575469;0,00012199696868632;0,00084042356206132;0,000243993937372641;0,002155279780125;0,00107086228069104;0,00234505284252594;0,00262971243612735;0,00230438718629716;0,00265682287361319;0,00645228412163207;0,53322;0,0212410277701627
"251";"19_45";"p7_D3";19;45;"Schl";"#2";NA;141;0,000568087212506636;0;0,000142021803126659;0,0000710109015633293;0,000426065409379976;0,00340852327503981;0,000213032704689988;0,000284043606253317;0,000142021803126659;0,00149122893282992;0,0046157086016164;0,006035926632883;0;0,00617794843600965;0,00674178;0,0235756193190254
"378";"3_38";"p1_H4";3;38;"Schl";"#2";NA;225;0;0;0;0;0,000217547190476924;0,00174037752381539;0,00065264157143077;0,00108773595238462;0,000217547190476924;0,0178388696191078;0,00152283033333847;0,000870188761907696;0,00674396290478463;0,00804924604764619;0,00179114;0,0389409470953694
"77";"11_44";"p4_E11";11;44;"Schl";"#2";NA;163;0,000172926727434581;0,0000617595455123506;0,0000741114546148204;0,000098815272819761;0,000234686272946932;0,000963448909992666;0,000284093909356813;0,00543484000508685;0,00148222909229641;0,00771994318904385;0,0092886356450575;0,00897983791749576;0,00494076364098804;0,0258896014787774;0,384452;0,0656256930614237
"137";"13_6";"p5_A8";13;6;"Schl";"#2";NA;112;0,00117890332687362;0,000392967775624539;0,000785935551249078;0;0,00275077442937177;0,00668045218561717;0,00471561330749447;0,00432264553186993;0;0,0070734199612417;0,0117890332687362;0,0106101299418626;0,00157187110249815;0,030651486498714;0,000994365;0,0825232328811532
"469";"8_52";"p3_E2";8;52;"Schl";"#2";NA;209;0,00264799716842931;0,000147110953801629;0,000441332861404887;0,000147110953801629;0,00382488479884235;0,0101506558123124;0,0186830911328069;0,0217724211626411;0,00338355193743746;0,0172119815947906;0,0303048564831355;0,0303048564831355;0,00941510104330425;0,108273661997999;0,103473;0,256708614383842
"430";"7_2";"p3_H1";7;2;"Schl";"#2";NA;81;0,000718245131653528;0,000119707521942254;0,000239415043884509;0,000239415043884509;0,0013167827413648;0,00371093318020989;0,00119707521942254;0,0557837052250904;0,0096963092773226;0,0186743734229917;0,073859541038371;0,0796055020915994;0,0102948468870339;0,246238372635217;0,00836518;0,501694224459989
"326";"22_14";"p8_C4";22;14;"Schl";"#3";NA;131;0,000299116554250849;0,000233310912315662;0,0000478586486801357;0,000167505270380475;0,0009511906425177;0,000574303784161628;0,000478586486801357;0,0000299116554250849;0,0000478586486801357;0,0000179469932550509;0,000155540608210441;0,000149558277125424;0,0000538409797651526;0,000376886858356068;0,00920818;0,00358341631992517
"24";"1_54";"p1_C6";1;54;"Schl";"#3";NA;233;0,00101357700430725;0,000941178646856734;0,000506788502153626;0,000651585217054662;0,0012307720766588;0,00246154415331761;0,00246154415331761;0,000868780289406215;0,00036199178725259;0,00137556879155984;0,00137556879155984;0,00101357700430725;0,000217195072351555;0,00535747845133832;0,0186081;0,0198371499414419
"305";"20_55";"p7_G8";20;55;"Schl";"#3";NA;146;0,0011118118724055;0;0;0;0,02223623744811;0,013341742468866;0,00778268310683852;0;0;0,00389134155341925;0,00166771780860825;0,0011118118724055;0,00055590593620275;0,0161212721498798;0,00280603;0,0678205242167355
"120";"13_23";"p5_B3";13;23;"Schl";"#3";NA;112;0,00193908154461866;0,00339339270308266;0,0121192596538666;0,002908622316928;0,010180178109248;0,0702917059924265;0,0504161201600853;0,0106649484954026;0,000969540772309332;0,002908622316928;0,0150278819707946;0,00872586695078399;0;0,0198755858323413;0,0140198;0,209420806818816
"104";"12_31";"p4_H1";12;31;"Schl";"#3";NA;148;0,000859257045614381;0,000304897661347039;0,00205112972178917;0,00138589846066836;0,00205112972178917;0,0595659158395259;0,0550756048269604;0,00468433679705904;0,00102556486089458;0,00365877193616446;0,00956269937861166;0,0160487041745396;0,0018571039372956;0,0519434743058501;0,141202;0,210074488668109
"35";"10_25";"p4_B3";10;25;"Schl";"#3";NA;195;0,00721639874953695;0,0178416928871672;0,00218437169396059;0,00507348228480483;0,00792751537399422;0,0375711931361223;0,0583721516174433;0,00823364629752737;0,00162313166748313;0,00719407670302935;0,0274911947060354;0,0230140299493629;0,00580054322819608;0,0723616970501513;0,515967;0,281905125344815
