tray;pot;weight only;weight;position
21;24;;0.168;21_24
21;25;WEIGHT;0.299;21_25
21;26;;0.138;21_26
21;27;;0.224;21_27
21;28;;0.13;21_28
21;29;;0.136;21_29
21;30;;0.284;21_30
21;31;;0.162;21_31
21;32;WEIGHT;0.236;21_32
21;33;;0.197;21_33
21;34;;0.218;21_34
21;35;WEIGHT;0.107;21_35
21;36;WEIGHT;0.179;21_36
21;37;;0.25;21_37
21;38;WEIGHT;0.144;21_38
21;39;;0.309;21_39
21;40;;0.326;21_40
21;41;;0.261;21_41
21;42;WEIGHT;0.056;21_42
21;43;WEIGHT;0.214;21_43
21;44;;0.222;21_44
21;45;;0.152;21_45
21;46;;0.256;21_46
21;47;WEIGHT;0.218;21_47
21;48;;0.286;21_48
