tray;pot;position;genotype;treatment
13;46;13_46;HE;#1+s17
13;47;13_47;Kus;#3
13;48;13_48;Eyach;#3
13;5;13_5;Eyach;#2
13;6;13_6;Tu-Wal_acd6;#2
13;7;13_7;Lu;Control
13;8;13_8;Tu-Wal;#2
13;9;13_9;sid2-2;Control
14;1;14_1;Tu-Wal;Control
14;10;14_10;Col0_acd6;#2
14;11;14_11;Kus;Control
14;12;14_12;Schl;#3
14;13;14_13;Tu-Wal_ics1;#1
14;14;14_14;Lu;#1
14;15;14_15;Tu-Wal_ics1;Control
14;16;14_16;sid2-2;#3
14;17;14_17;Tu-Wal;#1
14;18;14_18;Kus;#1
14;19;14_19;Tu-Wal_acd6;#1
14;2;14_2;Kus;#2
14;20;14_20;HE;#1+s15
14;21;14_21;Kus;#3
14;22;14_22;Col0_acd6;#3
14;23;14_23;Col0;#3
14;24;14_24;Col0;Control
14;25;14_25;Col0;#2
14;26;14_26;Tu-Wal_ics1;#2
14;27;14_27;Lu;Control
14;28;14_28;sid2-2;#2
14;29;14_29;Eyach;Control
14;3;14_3;HE;#1
14;30;14_30;Lu;#3
14;31;14_31;Tu-Wal_ics1;#3
14;32;14_32;sid2-2;Control
14;33;14_33;Lu;#2
14;34;14_34;sid2-2;#1
14;35;14_35;Tu-Wal_acd6;#3
14;36;14_36;Schl;#2
14;37;14_37;Col0;#1
14;38;14_38;Schl;Control
14;39;14_39;HE;#3
14;4;14_4;Eyach;#3
14;40;14_40;Schl;#1
14;41;14_41;Tu-Wal;#2
14;42;14_42;Tu-Wal_acd6;Control
14;43;14_43;Tu-Wal;#3
14;44;14_44;HE;Control
14;45;14_45;Eyach;#2
14;46;14_46;HE;#2
14;47;14_47;Col0_acd6;#1
14;48;14_48;Tu-Wal_acd6;#2
14;5;14_5;HE;#1+s13
14;6;14_6;Col0_acd6;Control
14;7;14_7;HE;#1+s17
14;8;14_8;HE;#1+s14
14;9;14_9;Eyach;#1
15;1;15_1;Tu-Wal;Control
15;10;15_10;Eyach;Control
15;11;15_11;Col0_acd6;#3
15;12;15_12;HE;#1+s13
15;13;15_13;Tu-Wal_acd6;Control
15;14;15_14;HE;#3
15;15;15_15;Col0_acd6;#2
15;16;15_16;HE;#2
15;17;15_17;Schl;#3
15;18;15_18;Schl;#1
15;19;15_19;Tu-Wal;#3
15;2;15_2;Lu;#3
15;20;15_20;Col0;Control
15;21;15_21;Tu-Wal_acd6;#2
15;22;15_22;HE;#1+s17
15;23;15_23;HE;Control
15;24;15_24;Col0;#1
15;25;15_25;Eyach;#2
15;26;15_26;HE;#1+s15
15;27;15_27;HE;#1
15;28;15_28;Tu-Wal;#2
15;29;15_29;Col0_acd6;Control
15;3;15_3;sid2-2;Control
15;30;15_30;Tu-Wal_ics1;Control
15;31;15_31;Lu;Control
15;32;15_32;sid2-2;#2
15;33;15_33;sid2-2;#3
15;34;15_34;Kus;Control
15;35;15_35;Tu-Wal_ics1;#1
15;36;15_36;Col0;#2
15;37;15_37;Kus;#3
